comment_cleaned,sentiment
thanks honest emotion sorry loss,negative
thats exactly used year ago would deal strong emotion would want lay bed forever never get decide deal low point life huge impact future good worse matter bad thing get there always something worth fighting kind,neutral
thank much sharing feel thing intensely overwhelming embarrassing lot time dont even know im feeling know im feeling lot intense overwhelming sometimes dont even know im sorry loss thank sharing ok embrace feeling going showing way navigate,negative
wish could feel comfort knowing goodbye see later believing afterlife make grief much,negative
thank bravery,positive
special person wonderful therapist thank,positive
helped much im going rough patch nothing compared loss im sorry loss really dont even know im even allowed grieve perceptual loss plane feel like bad situation world ending ive lost hope maybe something need discus therapist guess hope dream missed opportunity soul loss hurt even plane really shallow deep,negative
feel intense emotion well problem judge thank video,negative
popped mother icu know end near wild ride thank posting evergreen message,positive
see lot wellstyled video video reason start follow need real thank sharing love light right back ya,positive
beautiful cry see heart,positive
cry video ppl post new content,neutral
needed video moment morning felt bad noticed locked freely feeling emotion hard sometimes feel everything feel time intense thank wise word,negative
desentizing work brilliantly remember young man scared scary scene movie next couple year longer affected much previously surprise shock scene movie would make jump seat mild internal twitch difference internal mantra real movie conditioned subconscious pause evaluate scary situation find pro twice life threatening situation instance mind scrambling figure course action mental shout stop allowed regain control situation con emotion behind glass wall,negative
im watching video year later feel sorry loss losing people early hard part life youre right feeling emotion letting wash pas important emotional human being point maturing adult keep emotion learn deal dont take longer natural love video many need hear others need reminding brother died cancer hard time funeral way get wife another state life sure get tough let feel,negative
thank needed youre ugly cry btw,negative
day mother died since unable travel lived decided carry social afternoon planned never fear plenty time think process grief coming day month year think amazing pulled made video thank,negative
awwwbless dear girl lady woman,positive
love hurt one love go cant come back,negative
thank okay okay time time strong time hide bathroom cry sit stoplight cry lol okay thank video thank sharing,positive
helped much empath sensitive since child challenge navigating life finding therapy nutshell god send thank transparency may memory blessing,positive
bless beautiful soul vulnerability authenticity beautiful appreciated love navigate sad time,positive
im sorry loss applaud modeling vulnerable way expressing emotion grieving client dont know way know whether life death tha psyco therapist,negative
feel intense emotion afraid let afraid never stop,negative
guess youtube heard cry,negative
love said something thousand subscriber cool million hate ugly cry public sometimes cant help im learning come term fact way try fight cry harder,negative
choice make video helped immensely come know done year ago glad find youre okay course would,positive
thank much sharing grief putting ok cry telling ok emotion make life beautiful important like said let emotion flow fight feel struggled year stuffing emotion away earned diagnosis general anxiety panic attack mention ptsd wish would somebody like life tell ok let emotion flow ok cry natural make human thank much putting message important,neutral
keep praying soul gone buy god bless,positive
thank sharing saying truth wish best,positive
thank sorry loss helped many people thank,positive
saw video thank much intense feeler well video help much god bless give hope get old self back peace grace,positive
video relatable real message thank,neutral
put face everyone difficult one workjob send recommended video topic sorry loss say right thank sharing feeling hurt snd seem sleep well enough,negative
must really amazing person hug,positive
beautiful emotion yes believe thank,positive
thank beautiful helpful praying god comfort,positive
omg authentic,positive
lost cat week ago cant seem tobmove past ive never felt intense pain feel alone,negative
deeply sorry loss ok feel made feel thank sharing real,negative
love heart god bless,positive
thank sharing showing vulnerability allowing see processing emotion sorry passing someone loved much mom loved much passed away two month ago one stifle emotion least one cry tear happy sad considered sensitive think grieving healthily around many people yet want talk going cry also know people want handle avoided peopling much sister luckily want talk thing went end life helpful know time start branching world rest people little daunting,negative
beautiful soul keep keeping,positive
thank saying feel intensely beautiful thing realized run deep feeling grief dont feel like ok let beautiful feel ok feel thank video didnt know needed hope healed loss,positive
healthy mental health feeling processing emotion many taught limit completely cut feelingfully experiencing certain emotion even get shoved repression surface unhealthy way feel feel find healthy way process know op know rest ya,neutral
lost parent time support network didnt matter anyway hug comfort memory sharedno burial wasnt real mind still isnt real yes know gone zero closure since defining marker reference event around biggest mind uk life lost since pet lifelong friend therapist help truly sorry lost special person dad covid think shattered lot people die alone grieve alone,negative
world need people like amen,positive
love video sooooo much honestly helped see emotion differently ive gone different therapist one explained feel emotion feel okay experience soul able experience human guess gift ive always felt overrun emotion control deep feeling emotion hyper sensitive always told feel much think much nobody ever told okay way ive always someone need fixing thank permission feel feeling okay youve helped know feel seen heard,neutral
sorry loss god bless keep palm hand,negative
noticing many people numb unresponsive self protection,negative
holding good story matter bless,positive
hope pain loss recover four year,neutral
sorry loss thank sharing currently going experience much grieve prize pay much love faith god carrying,negative
emma ugly cry annnnyyyyytime feel need love,negative
see absolutely filled emotion hurt smallest thing,negative
cried realise connected make human feel show thank much courage giving video whilst grieving deeply,positive
praying psalm tell lord close broken hearted save crushed spirit thanks open honest need know ok,positive
lost wife march last year dad september rollercoaster ride emotion,negative
know video year ago sorry loss always person intense emotion sometimes people close make fun want express deep gratitude sharing beautiful vulnerable video help know okay intense emotion soft heart sending love,positive
bless im sorrygrief hard,negative
always connect easily today cry lot love thanks hard work authenticity bear hug south brasil,positive
severe hormonal incapacitating turmoil aka shit cause severe grief like symptom overwhelm one control also rage suicide homicide loss fruit god holy spirit unwell time one control love joy peace patience kindness goodness selfcontrol gentleness faithfulness cause negative fault finding bad mouthing one spouse one control asperger similar trait loss self control ragesnegativity childish way,negative
sorry loss thankyou raw authentic emotional watch lot video help lot felt connection genuine beauty video today nk dog vulnerable showing intense emotion ok fine share themby example amount miss someone theyre gone measure hoe much loved big part played life sendimg gratitude,positive
thank transparency allowing see humanness well pray grateful channel god bless,positive
thank vulnerability honesty beautifully love light,positive
sorry loss dear,negative
one authentic video ever seen cry frequently day learning feel emotion thankyou sharing,positive
helped,positive
people love diewe lost hurt badly yet cant avoid blessed themi work rehab environment oppositei find weird meet many men die pretty quickly approximately year meeting men selfish self centered horrible died well wow,negative
there nothing ugly cry youre beautiful inside outside whatever youre feeling,positive
happy youre earth right,positive
beautiful amazing human thank much much love,positive
thank saying,positive
im sorry loss thank help sharing way letting emotion running ignoring stuffing downwas helpful example feeling feeling really wont kill yay growth step matter im grateful,positive
thank showing people real authentic ok vulnerable feel deep emotion,positive
thank much sharing emma others said beautiful cry youve reminded others really part grieving process god bless pray dear friend soul peace love kindness grateful,positive
httpsyoutubemuswvhtqmksibcachynjnppscc,neutral
thank much,positive
thank sharing emotion wonderful woman sorry loss,negative
hope see back feel better hope hold memorial visit grave peace tranquility,positive
say comment youre feeling emotion really well seems litmus test im actually feeling im feeling emotion beautiful much wonderful able share someone love feel safe emotion thing scary share wife year marriage sharing thing period growth,positive
thank vulnerable brave,positive
thank much beautiful video beloved dog bella coming end day side rainbow bridge found video helpful thank help,positive
bless heart,positive
thank sharing helpful right,positive
dont know youll ever see hope youre healing well wanted know im day massive loss youre video really helped wave sometimes im going along fairly smoothly next thing tear streaming face hardly breathe happens im going imagine pain wave never know whose heart youll touch thank,positive
thanks really needed tonight,positive
feeling lot grief sadness frustration relationship year ended relatively recent exgf find hard move also painful see already moved meeting falling love someone else quickly make feel worthless even though think right choice end relationship definitely make feel pain felt mother died one cherished important person life vanishes maybe pain abandonment loss connected,negative
husband year passed away week ago ive caregiver past couple year heart attack stroke spouse caregiver mind go bed may need night go store briefly worried come back passed away dont know thinking constantly though im grateful longer frustrated unhappy body situation spent last couple week preparing celebration life home pouring energy make special honor memory could week ago got used keeping emotion arm length afraid gave would crumble able function needed anyone heard song jelly roll im okay going right exactly feeling guess ive done good job telling everyone im okay believe itevery feel grief hovering wanting overpower im afraid know weird dont know ever going strong enough let grief fully latch heart grew grew old husband forever love miss hope everyone comment lost someone dear courage face grief someday find peace healing thank video sorry loss,neutral
husband year passed away week ago,neutral
thats lovely surprise new religion see place people want divide two science religion compliment,positive
watched video noticing waiting cry highly sensitive person figured actually noticed sensation throat first like get chocked tear come pouring condolence know life death emotion still get,negative
needed today popped god bless,positive
belated condolence may soul lord care god bless thank amazing everything lol poo guess daughter mean possibly found one keep well,positive
grief price pay love,neutral
grieving started father sick father admitted icu usually patient going live longer saw suffering depending ventilation machine doctor told father condition getting worst improving ask prepared deathi went see father bed isolation room cried cried word stuttering due cry cause nothing anymore cried hard hurt said father thank forgive forgive thank everything love today marked day father death also grieve thing could plan made father finally healed get hospital guilt feel,neutral
emotion week ago even created dent right thumbnail,neutral
mom died age felt grief year one day went scientology one time therapy session cured day pain never returned idk worked god bless everyone suffering,negative
oh sorry loss see much cared friend losing beloved friend always painful wish comfort peace thank sharing emotional experience,negative
oh seeing break cry made want cry thank much sharing real emotion authentic side someone else said cry ugly cry labeling emotion look judgmental thing influenced factor control control choosing whether want jump judgmental wagon lost older sister year old till day cause inside skip beat functioning split second time reminded fact dead relate grief thank sharing especially licensed therapist youve influenced many people comfortable honest emotion letting express thank much,negative
really teach school especially time like young people always think need happy great time video moving sorry loss please continue beautiful helpful many people thank,positive
goodness courage transparency thank teaching feel emotion embrace world everything come good bad,positive
make video stop creating fake scenario,negative
began cry watching video dont wan na put oil fire tho hope youre good day love content found channel like hr ago helpful love say thing kinda bring hope watcher thought gone back slowly got depression like yr ago dad passed away struggled one two year like yr im constantly heavily going suffer bc love sickness dont know cope trigger everywhere didnt find video massive um love sickness may one didnt find much much appreciating,negative
going similar grief loss mother month every day last day immensely heavy able let roll feel feel love someone deeper feel beautiful ok thank sharing something familiar yes work feel fully know ok,positive
needed today even tho say year ago popped feed thank emma blessing many,positive
kintsugi japanese lit golden joinery also known kintsukuroi art,neutral
amazing moved pure really beautiful thank much help emotion,positive
lost sister day ago going emotion know self best friend still looked utterly devastated alone want fall back depression tough want let know much going miss much love sister xx,negative
big hug beautiful soul,positive
ty video helping tap unresolved grief deep deep sorrow tysm,negative
jesus wept,negative
heart go thank sharing honestly emboldening well,positive
profoundly freeing videothank sharing may abba hide beneath wing bring peace,positive
thank video sorry dear friend,negative
dad died dont even know im going survive pain,negative
thank im sorry heart hurting lost coworker year couple day ago retired month ago unexpected sad weve lost family didnt get enjoy retirement long agh,negative
thank needed hear usually cry alone saw weakness fake people cry front thats caused problem intimate relationship kept getting close even family member empathetic cry usually wont let cry ppl unless drunk something find video helpful working grounding skill gave free thank much help im working cant afford therapy yet really appreciate keep keep shining,negative
lost husband cancer month ago miss everyday lot time feel lost know stay strong boy cried lot alone want boy see way,negative
wish bpd feel intensely way everyone else feel past year terrible shit one fucking care lost career year ago nurse severe back injury since two back surgery worked left severe chronic pain friend left husband resents essentially roommate handle anymore cry cry believe god think life death even care anymore dead soon thankfully,negative
grateful catch video learning honest cry feeling actual emotion whatever may next step recognise angry sad joyful getting practice noticing emotion feeling naming take daily practice really appreciated sharing difficult sad moment losing somebody loved open needed honesty willingness let thank,positive
dont know whats wrong intent emotion intense like anxiety especially ptsd son kidnapped like feel cant get bed cant anything dizzy nauseous feel like mean literally cant anything point becomes quite physical hopefully help,negative
today mark one year anniversary mother passing thought prayer,neutral
thank sharing process intense emotion vulnerability felt sudden sadness come couldnt understand video showed thank sharing okay feel okay let emotion process youll okay im used numbing shutting idea accepting acknowledging feeling foreign concept thank helping know okay well okay even let feel accept process negative emotion better,neutral
cry want dear,negative
cry son got worst news strong worrying stop cry sorry loss cry two well never think ever happen hug,negative
came perfect time appreciate,positive
thank posting video lost sibling cancer recently still grieving losing also cried front friend really appreciate open vulnerable posting saying okay emotion im sorry loss,negative
thanks vulnerability sending hug,positive
lost mom january video really helped validate grief going reaffirm good feel feeling process thanks,positive
changed life love,positive
love thank,positive
thank emma creating video lifeline waking middle night raging anxiety tear assume menopause im learning embrace emotion feel stifle shut thank much,positive
condolence thank sharing video prayer avoiding grief video popped seeing video feel human god bless,positive
thank human making realize breath im july th year old girlfriend died unexpectedly taking nap lazy trying best get better would want happy anyhow birthday really stuck head dark place thought even alive lost world dana died anyway picked cell phone like needed big hug let know gon na ok god bless make father never turn back,negative
thanks vulnerable sharing emotion process,neutral
share intensely healing personally thank,positive
send love may god give comfort heal,positive
thank vulnerable sorry loss human let go usually others try tell act say,negative
emma helped much cry kind soul thank sharing difference maker,positive
thank transparent human reali dont feel unique emotion grateful wiling share true self,positive
hooray real normalizing hard thing thank sharing feeling view beautiful ugly cry know miss friend amazing work,positive
thank god bless sweetheart,positive
huh probably watched stuff since popped today would interesting psychtubers made wish experience,neutral
ugly cry beautiful soul remember never truly leave always everywhere spirit,positive
dear emma feel hurt sorry may almighty lord bless family,negative
love content personality im glad stumbled upon channel would mind share arabic written version video link original content course appreciate feedback,positive
good job,positive
yes giving permission feel cry take bravery ive learned,positive
thank sharing beauty thank jesus,positive
need love one space please allow privacy health sorry place time loss son wanted alone grief immediate love one could social medium loss,negative
thank much emma,positive
ok sad let unlike fireman hid emotion year one day everything came retire ptsd stress tinnitus life throw curve ball,negative
thank sharing vulnerability see extremely helpful,positive
pray thank honesty guidance example,positive
sniffing bawling see tear yet gulp sniff shes crumbled foetal position thinking hmmmmmmm honestly know fake know im believed ok im used engages grief muscle lot zero tear alongside stop cry ok usually dripping tear think grifter using fact cold film,negative
sad thankful happened,negative
okey sweetheart youd surprised many people scrolled let sweetu,positive
beautiful soul love,positive
god bless husband,positive
thankyou sharing often think basket case becoming emotional pressing dont usually get process verbally thing yeah helped feel better,positive
problem sometimes dont want deal emotion want accept reason feel way situation feel really bad caused something unwilling accept genuinely every fiber want accept current situation keep emotion going,negative
uncontrollable emotion cry mom past away know feeling,negative
true learn feeling wont destroy one always felt strongly general recently digging childhood stuff alone situ feeling intensely lonely dont think ever felt intensely lonely life couldnt go anyone time difference know one place anymore wasnt sure id survive honestly emotionally speaking month half go id broken wreck forever know sound dramatic dislike drama day desperately pray help faith went sleep realized next day wave passed like said good work passing dont think ever feel lonely know deeply heart head im actually never alone thats good enjoy stuff life lot thing least taking campervan alone sweet husband much homebody stumbled video morning share hope help someone,negative
video posted four year ago comment wildly date im terribly sorry loss hope found whatever needed solace closure anything else helped difficult time,negative
thank real world phony norm,negative
tear beautiful bro,positive
sorry loss found yesterday quilting friend passed went wake yesterdayshe wonderful lady,positive
thank know process grief started experience first time last week needed hear someone say thing okay thank,neutral
lost step dad month ago due horrible heart condition emotion mom felt horrible sadness nothing painful want improve prove step dad truly succeed molding man today hate grief learn deal become better person,negative
therapy useless verbal judo someone eye clock know end session bill insurance move next patient,negative
incredibly sorry hear news know know hurting really bad wish could give huge hug ugly cry feel emotion well well others want learn feel ok though feel guilty feeling feel thankyou telling ok open emotion ok cry get frustrated cry sometimes good cry help cope absolutely amazing human friend blessed life long enough knew loved eachother strong loved grown much need learn know cope hard emotion sending back love light,positive
take good care sweet girl im praying,positive
month ago lost father good man loved much died heart failure carry father body floor one help five minute carried father uncle called said didnt tell btw dad sick year still havent cried cant get rid great anger inside say please dont try talk without getting rid anger sadness inside wish health happiness,negative
thank emma feel thing super deeply well sometimes feel like curse deeply embedded emotion time feel completely enlightened know within good bad sit feeling appreciate work way even darkest night sun rise sister wrote small whiteboard nonremovable black vivid pen would always passed away pancreatic cancer tender age year old lost beautiful dog canine cancer two month ago immediately entered shortterm relationship wore heart sleeve yet person emotional capacity however still look beauty life appreciate good thing thanks little nugget advice inspiration go long way help immensely xx,neutral
amazing soon said lost someone really important literally felt soul cry brought tear beautiful,negative
good lord ever get easier,positive
thank youwe lost dear loved one brain cancer well funeral grieving time video helped realize internalizing grief thank,negative
today year anniversary murder dear friend mine fiance still grieving dealing one day time,negative
lost grandma today although expecting itbecause getting worse everyday seeing dead left completely empty sitting room mum uncle felt sense emptiness miss much best grandma could ever ask fori hope feel presence know better place feel sadlost empty,negative
believe afterlife thats keeping alive im waiting meet mom dad,positive
aw sad,negative
omg thank much making video thank lost mom comforting thing seen ive binged much god bless,positive
beautiful video thank sharing full emotion sometimes hate dealing help reassure pas capable handling accepting life throw,positive
thank god daughter im dont anyone wish child keep going niece keep going edit sorry im drunk,neutral
see good heart thats see,positive
part even knowing still feel emotion needed hear right,neutral
searched channel grief watched father pas last week pretty good health bit really thought would around several year thankfully fairly quick little watching someone slowly die experience unlike grief also coming going wave,positive
xo im grieving understand,negative
stepgrandpa passed away due cardiac related event found unresponsive bathroom floor apartment united state air force small engine aircraft pilot instructor electrician,negative
thank much sharing help im still grieving video help deal emotion said there another life one,negative
thank work channel im learning feel emotion raised father marine taught emotion luxury final day life told cry told stayed strong body reacted lump throat almost year one point menstrual cycle continued week straight guess emotion come somewhere month prior dad passing eldest brother passed away age marine well raised way brother passed away broken heart developed beloved wife left kept feeling never learned talk loss died heart failure biggest reason started watching video im learning feel feeling biggest heartbreak came year ago year old son took life arent word say feel never ive hiding ever since passed used teach preschool loved anything couldnt bear cry front year im beginning grief work told im going transcend grief completing marathon walk listen therapy nutshell given tool carry also suffered anxiety depression year loosing family member thought invited term panic attack teaching overcoming panic attack brought channel cant thank enough done child need im ever thankful help give thank letting god work help others heart go loss family left behind inspiration kind soul sending love,neutral
lost wife year canceri know long time susan triple threat love beyond measure best friend love lifei commit suicide brought backmy right eye stop watering took reason living want follow find,negative
thank making,positive
im sorry loss today something triggered strong emotion remembered video discovered yesterday let emotion run told okay probably helpful video ive ever seen thank much sharing vulnerable moment hope help others really help lot thank heart xx,positive
thought prayer go see video,neutral
dearest mum died month ago pain still raw cry interval memory keep coming see little thing around whole new world,negative
thankyou much helped much,positive
honest need therapist like youbecause cant even describe felt part experience,negative
really thank ive lost cat last year since kitty really im felling grief last two week really dont know feel grief thank strong push like strongers,negative
feel thing deeply mostly others made life incredibly painful minefield pain idea rise beautiful,negative
closest friend died parent tell week hurt lot,negative
loss little brother gun violence rest peace bro,negative
see lost someone really love acknowledging feeling beginning healingbest wish tender heart,positive
significant ten year best way last year forget way left question difficult anothermy wheres significant past way last year november fourthmy,neutral
dad passed away week ago tomorrow mum hospital onset dementia doesnt fully understand hard time funeral day passed period didnt really greive take time needed busy supporting brother one vulnerable adult event trigger difficult sadness time life hard extremely complex nobody saw dad heart attack coming internal person never showed much emotion miss im sad never got hospital say thing wish could told biggest word really wanted say none mattered know loved didnt always show wasnt big emotion showing love hard tough childhood moulded part personality struggled aspect life growing didnt always thing book know loved miss wanted tell although wasnt always smooth plain sailinghe never hurt maybe level wasnt always present life really struggled guidance esp going young lad becoming man got older definitely bonded went travelling id never really seen cry headed airport fly la onto new zealand cried thought hed never see im glad saw settle marry give two grandkids loved dearlyim upset died alone didnt suffer short snd sudden couldnt reach time dad know hope listening know time part upbringing werent always smooth easybut like say none matter want know dad forgive everything love youi miss know well meet againrip dad,neutral
absolutely got something video said exactly needed hear thank poseidon,positive
devastated sad word describe ami lost lovely partner lesley year juneim total turmoiland getting betterrest peace love xx,negative
sorry loss dear cried lost mother month ago brain tumor well miss like crazy air hug yre way,negative
thanks lost sister month ago tomorrow coping month last month tough anxious sad scary,negative
im sorry emma brave put video commend please know yes god plan timing,negative
bedtime video yet real,positive
im sorry loss thankyou sharing strength bless friend,positive
thank video reminder feel emotion definitely needed finding loved one passed away recently,neutral
therapist people,neutral
wife year diagnosed end stage renal failure full time carer last year passed away week ago soul torn half may rest peace,negative
spiritual work dissolving human consciousness know sound crazy like water heavenly mind water earthly consciousness body firmament reason keep coming back lost dad nine sixyearold nephew killed brother died sister passed away lost mother thought would little stoic anger brief illness wanted go home talked told ok go brother sister son sobbing wanted misery also going empty hole life main person life year wife child grandchild noticing get irritated everything people calling familiar psychology metaphysics read emmanuel sweden board sigmund freud people like ector talley alan watt reading knowing mean nothing trying hard even though death natural believe gnostic gospel secret teaching jesus christ turn world upside true say first disturbed amazement enlightened trying get obviously past five day cry uncontrollably pulling car side road would think people lost would acceptable know human desireto miss persona mother really blue family sorry loss friend also hard god bless,negative
youre still helping people,positive
help right,neutral
father terminally ill al passed away month ago became caregiver last year caregiver tough cried night couldnt freedom father know im tired tired last week intense pneumonia typhoon made surroundings suddenly cold something really thought could still recover already happened im always beside bed getting phlegm sputum holding frail hand im tired doesnt want hospital make even weaker fact there cure last night beside spooning water mouth cant even balance sitting approaching midnight told daddy uhm sleep im going back room he still awake nod waited close eye assumed asleep maybe delayed effect sleeping pill week loss sleep needed early morning hr later earliest one wake approached cold lifeless eye opened touched cold hand said thank love daddy closed eye dont know struggled phlegm guilty slept night sometimes imagined like loss breathe little little accepted there nothing could im person feel unfair couldnt give anything surprise salary like trip memory young adult self still saw graduated college year ago knew made book favorite hobby want pursue bday saw cool outfit somewhat resembles father time fact nearly month th birthday passed away freedom greatest gift bargained swear ill make good life continue book finance last week ago went grave alone andi miss cried said sorry night im sorry told bargain doesnt show sign hears something later day close friend went tourist spot top mountain wherein see city km away volcano view point thought daddy seeing,neutral
husband soul mate year slowly dying end stage copd right eye past year constant trip icu ward back home everytime make trip hospital think go thru fear anxiety grief losing icu th time last mo va finally going give hospice care home avoid constant trip er emotional state high alert go sobbing eye hopeful numb vicious circle faith god im sure thats sustained far fear husband finally pass sink despair cant recover anyone advice guidance thank,negative
mom died brain cancer,negative
sorry loss friend thank sharing feeling sadness lost sister year ago didnt realize much needed cry got cry thanks great work help others certainly blessing,negative
feel pain wife year passed may heart soul ache pain god bless,negative
sending lot love,positive
lost daughter week ago im heart feel shattered luckily ive learning skill allowing emotion feeling allowing flow grief like roller coaster feel emotion deeply also used drive daughter nut cuz shes scorpio im double pisces,negative
care,neutral
spread papa dans ash today heart,neutral
im tryingbut dont know anymore edit kid support,negative
show real thing teach everything easy road learning great helpful want learn sorry friend,positive
needed hear today yr old son brain cancer originally diagnosed fought glioblastoma year later june called tell returned day husband went dream international holiday surgery away got prognosis good full anticipatory grief coping well right soon need travel son another state look another battle away support system husband son father family friend possibly many month find strength face,neutral
well searched looking way process sadness thank really hurt right,negative
felt lost father packed emotion brother passed january crushed find soothing cry im feeling go somewhere let go best place park nature beach sitting facing ocean normal everyone youll get remember never think weak strongest feeling emotion letting pas,negative
thanks video unclegodfather passed away yesterday feeling raw helping mom sign transfer remains legality family besides mother painful since side world attend service due mother fragile health uncle buried birthday make painful deal letting emotion take course bottling inside live,negative
thanks emma brave,positive
saw im believer wish faith right lovely person stay safe,positive
mom passed paiin real living life passion love way mom would want live life taking advice mom gave grateful mom raise live life fullest honor,positive
helped much cry day today taking friend hospital seeing sister cry sister want live anymore sad hospital instead voicing sad feeling got fight snapped friend terrible day tear came got home watched gif bless thank brave know friend ok,negative
im yo son died april need go attend meeting appointment breathe chest aching miss much feel like always pain since left want stay home emotion always tired feel like never gon na end video reminds stop judging thank,negative
always make happy,positive
sorry loss life partner battled life brain tumor brain cancer baby died home hear feeling map forth day james died miserable miss dearly eight year thanks letting know,negative
sorry friend passed away feeling understood prayer headed way,negative
watched year love content grieving mom popped feed realize powerful thank helped tired strong really love kind insight message really helped try pay forward life love light,positive
failing adapt move stuck grieving loss accumulated life family friend even pet year later still sob old dog year later still sob losing year old grandfather either parent passed away immense stress anxiety inevitable end keep video dog refuse watch cant move stop progressing isnt time healing wound,negative
im losing cousin due liver failure sent home die ive done cry since getting news thank sharing im world hurt moment thank sharing,negative
know year old im going similar thing want thank,neutral
lost mother month ago lost sometimes feel like dont want anymore life hard childhood hard mother alchoholic although never really admitted also mentally sick always affraid would die horrible state thats always returned fear losing death didnt return havent seen two month hurt died sleep angry suffering still didnt deserve say goodbye believe supposed life hurt,negative
thank much first video seen moved lost dad last month felt lost always strong one feel strong good reassured going okay,positive
wish strength methank open europe,neutral
ive recently learned channel husband anxiety series month ago let dog go hardest death deal dog give much unconditional love loss great intense im still feeling thank allowing sit feeling pain loss loved one husband sat grief he grief may seem weird ive watched video sat grief also allowed feel grief jeffreys loss weird say dont know video year old nice sit grief needed ugly cried today know ill ugly cry finally feel validation ok feel grief come thank,negative
emotional one true way understand others may go internally similar situation happens others unreleased timely simply becomes toxic accumulation develop ferocious cancer cell kill,neutral
know older video thank courageous act posting love light,positive
sorry loss dear friend remember great life prayer emma,negative
amazing thanks,positive
cry stay death back back health problem losing sure last couple year,negative
wearing wedding someone go share grief empty lost broken lost person,negative
mother died week ago although feel like yesturday amd sometimes unreal died mother day soo soo suddenly younh an still cant fanthom shea gone heavy heavy weight heart try surpress dont keep breaking every time gbink everytime remember face fact shes gone feel like taken granted ahe needed toxome see talk anseer phone hate pain may caused feelike aweful daughter oerson human thats truth havent sais wrote tbis moment starngers profile firat vodeo came accroas searvhed litterallu deal grief cant really cant mist stay stronh thw people around mu daughter alybough wany break stay bed xry sleep cant eat cant sleep good lately looking strengh guidance sure found bit might aswell release thought,negative
biggest pain life part loosing mother kid due alcoholism abuse maphia asked adoption abused abandoned level express endured strong little girl kid smart sensitive story hunted whole life never forgot sick mother mental state dark would say psychopath horrible thing knowing also pain endured men treated beat almost killed many time spoke like year horrible cruel cold mother still feel sorry healing pain deep body still hurt chest father removed picture struggle know help able highly dangerous individual would say highly sick human break heart every time think grief never end like someone dead meanwhile still alive know reconcile feeling knowing alone old year know demon drive knowing undo repair something accept condition full denial narcissism break heart cause understand move know wish good know soul never ok pass away hurt much guess chose wish discover hidden meaning thankyou video sharing,negative
watch video actually gem knowledge people want help themself make video thank god bless,positive
thank work watched video really dark day moment lifeline,negative
beautiful thanks sharing really felt people lost someone dear one die alone without loved one holding hand possible greatest sympathy love grieved time unable special someone ugly tear come place love help heal god bless everyone,negative
mum died cancer always amazed gone next experience life good hope,positive
dad dy unexpectedly today never deal grief thanks posting,negative
sorrythank thank thank,positive
tried save wife failed im pretend holder key life death came one thing certain engaged situation properly would exponentially increased probability survival failed get live regret recompense,negative
eleven year old favorite granny recently died thank much helping,negative
im sorry,negative
year posted saw looking way release sadness heart wanted cry badly feel heart hard penetrate protecting feeling pain thank sharing grief saying okay feel emotion know okay heart opposite able cry feel better solution yet sadness feel face dilemma able release emotion thank,neutral
lost mom dont know want give run away,negative
thanks work fine,positive
feel way,neutral
moving away childhood home tough financial situation lived year life never felt type sadness ever hard explain feel like world never give break,negative
emotion make feel alive,positive
grieving death one love ok break shatters cant function anymore make want longer exist life beautiful life ugly lie everything going ok,negative
rest peace david wish could talked one last time,neutral
lost best friend partner year jan st year im still learning deal get triggered easily cry like day found gone heart forever broken suicide horrible wish one would ever feel way,negative
sorry loss totally understand hard lose loved one everything say true thank sharing emotion,negative
love showing part gift thank,positive
emma wish thati could give hug shoulder cry wipe away tear face trickle cheek sorry loss,negative
awesome thanks real human,positive
really helped said something profound love loved one knowing one day lose anyways really beautiful,positive
thanks uploading lost cat month ago ive felt stuck unable move past helped,negative
brother last stage bone cancerim sending love youbecause heart hurtsmine toolove sister,negative
beautiful gift share able connect experience intense emotion self assured love feel mine vicariously know ok feel strongly others experience thank beautiful gift,positive
beautiful authentic soul pray god peace emma,positive
sorry loss help much hope feel love support whose life touch,negative
husband year aggressive neurodegenerative disease year ago ha one bone breaking fall torso brace week inpatient rehab daysbut lying beside every night yes using walker balance today skilled care facility still barely great effort feed barelywith great effort use part foot slowly move wheelchair foot dining room room still haltingly great effort speak understandably dementia typically part aggressively physically disabling incurable disease likely remain cognitively intact loses ability move speak swallow etc disease kill unless dy pneumonia aspirating saliva food particle etc likely live borrow year unless stage kidney disease due chemotherapy journey cancer remove life sooner alone complete life span wave grief daily tsunami visit almost every day finally letting cry almost every night sunrise bring measure peace fall asleep daylight exhaustion wake get ready aide put bed get home night try eat least something drink protein drink succumbing tear finally fall asleep wake repeat cycle week ill drive day row able briefly communicate phone also feeling guilt side live alone home find strength get help support know need month skilled care facility struggling stay alive thank god antidepressant prescribed death younger son age survive good kind man goal survive long enough end please pray,neutral
something want grieving people know feel sad feel sad feel happy feel happy okay feel feeling grieving okay happy okay feel like cant cry okay cry okay feel whatever feeling moment happiness whether long miniscule doesnt diminish feel said person animal passed doesnt make miss less doesnt make senseless human dont try force feel sadder due guilt simply doesnt work way dont wait certain time period let feel happiness possible moment genuine happiness within day personspets passing absolutely valid think imagine proud loved one may seeing happy thought mind may help leave guilt astray top however dont force much order happy let whatever emotion flow mindset help someone grieving loss loved one stay strong,neutral
thank video dear wife died suddenly home week ago married year age year togetheri never cried much life sadness sense lost come wave life together full love kindness feel lost,negative
lost childhood best friend year week ago one found sudden tragic unexpected sure life continue,negative
afterlife youre mistaken,negative
